Enhancement method,Weight,Precision,Recall,mAP50,mAP50-95,fitness
original,C:\Users\Aditya\Downloads\clahe_704_480_40e\last.pt,0.8191486045105915,0.6244897959183674,0.7035713424208396,0.357317144395188,0.3919425641977532
clahe,C:\Users\Aditya\Downloads\clahe_704_480_40e\last.pt,0.8236956855940671,0.6179591836734694,0.7044231985033463,0.3496009623385578,0.38508318595503666
clahe,C:\Users\Aditya\Downloads\clahe_aod_704_480_40e\last.pt,0.7686924117992646,0.6261224489795918,0.6690496590844949,0.32638938866134926,0.3606554157036639
aod,C:\Users\Aditya\Downloads\aod_704_480_40e\best.pt,0.7964251877182771,0.6138775510204082,0.6712120789458992,0.3216140131482135,0.3565738197279821
aod,C:\Users\Aditya\Downloads\clahe_704_480_40e\last.pt,0.7862594578873313,0.5591836734693878,0.6328351267330752,0.309729704763049,0.34204024696005164
agcwd,C:\Users\Aditya\Downloads\aod_agcwd_704_480_40e\last.pt,0.8432275478774603,0.6048979591836735,0.6954152852676172,0.3484851626307414,0.383178174894429
